0 1.713386e-37
1 1.683494e-37
2 1.629268e-37
3 1.531846e-37
4 1.530455e-37
5 1.425427e-37
6 1.409167e-37
7 1.360192e-37
8 1.300396e-37
9 1.295575e-37
10 1.214423e-37
11 1.209127e-37
12 1.157609e-37
13 1.118751e-37
14 1.109650e-37
15 1.040963e-37
16 1.038469e-37
17 9.911804e-38
18 9.625724e-38
19 9.544324e-38
20 9.034690e-38
21 9.018443e-38
22 8.653927e-38
23 8.456439e-38
24 8.390673e-38
25 8.016259e-38
26 7.998974e-38
27 7.738145e-38
28 7.581039e-38
29 7.547211e-38
30 7.299492e-38
31 7.276838e-38
32 7.122052e-38
33 7.007910e-38
34 6.994509e-38
35 6.856391e-38
36 6.838091e-38
37 6.750610e-38
38 6.683647e-38
39 6.671010e-38
40 6.578647e-38
41 6.566248e-38
42 6.496737e-38
43 6.430297e-38
44 6.424341e-38
45 6.350255e-38
46 6.327550e-38
47 6.294772e-38
48 6.230979e-38
49 6.231072e-38
50 6.187078e-38
51 6.155254e-38
52 6.155430e-38
