# x_original y_original y_fitted
41.519800 8.403228e-22 -4.642517e-20
41.616100 8.421491e-22 -4.709954e-20
41.712300 8.439937e-22 -4.774636e-20
41.808600 8.458566e-22 -4.836704e-20
41.904800 8.477384e-22 -4.896035e-20
42.001000 8.496394e-22 -4.952702e-20
42.097300 8.515597e-22 -5.006767e-20
42.193500 8.534998e-22 -5.058129e-20
42.289800 8.554600e-22 -5.106903e-20
42.386000 8.574407e-22 -5.153000e-20
42.482300 8.594421e-22 -5.196528e-20
42.578500 8.614647e-22 -5.237410e-20
42.674700 8.635088e-22 -5.275707e-20
42.771000 8.655747e-22 -5.311469e-20
42.867200 8.676628e-22 -5.344637e-20
42.963500 8.697734e-22 -5.375297e-20
43.059700 8.719070e-22 -5.403403e-20
43.156000 8.740638e-22 -5.429031e-20
43.252200 8.762443e-22 -5.452148e-20
43.348400 8.784488e-22 -5.472799e-20
43.444700 8.806778e-22 -5.491024e-20
43.540900 8.829314e-22 -5.506804e-20
43.637200 8.852102e-22 -5.520196e-20
43.733400 8.875145e-22 -5.531191e-20
43.829700 8.898447e-22 -5.539838e-20
43.925900 8.922011e-22 -5.546139e-20
44.022100 8.945840e-22 -5.550130e-20
44.118400 8.969939e-22 -5.551836e-20
44.214600 8.994309e-22 -5.551277e-20
44.310900 9.018956e-22 -5.548478e-20
44.407100 9.043881e-22 -5.543470e-20
44.503400 9.069088e-22 -5.536269e-20
44.599600 9.094580e-22 -5.526916e-20
44.695900 9.120359e-22 -5.515420e-20
44.792100 9.146427e-22 -5.501831e-20
44.888300 9.172787e-22 -5.486166e-20
44.984600 9.199442e-22 -5.468434e-20
45.080800 9.226392e-22 -5.448700e-20
45.177100 9.253638e-22 -5.426952e-20
45.273300 9.281183e-22 -5.403263e-20
45.369600 9.309026e-22 -5.377614e-20
45.465800 9.337169e-22 -5.350087e-20
45.562000 9.365610e-22 -5.320687e-20
45.658300 9.394349e-22 -5.289410e-20
45.754500 9.423385e-22 -5.256351e-20
45.850800 9.452717e-22 -5.221472e-20
45.947000 9.482342e-22 -5.184875e-20
46.043300 9.512258e-22 -5.146516e-20
46.139500 9.542461e-22 -5.106505e-20
46.235700 9.572948e-22 -5.064834e-20
46.332000 9.603714e-22 -5.021488e-20
46.428200 9.634753e-22 -4.976588e-20
46.524500 9.666060e-22 -4.930073e-20
46.620700 9.697628e-22 -4.882070e-20
46.717000 9.729450e-22 -4.832511e-20
46.813200 9.761518e-22 -4.781530e-20
46.909400 9.793823e-22 -4.729109e-20
47.005700 9.826357e-22 -4.675222e-20
47.101900 9.859110e-22 -4.620012e-20
47.198200 9.892070e-22 -4.563397e-20
47.294400 9.925228e-22 -4.505526e-20
47.390700 9.958573e-22 -4.446310e-20
47.486900 9.992092e-22 -4.385904e-20
47.583100 1.002577e-21 -4.324278e-20
47.679400 1.005961e-21 -4.261398e-20
47.775600 1.009358e-21 -4.197426e-20
47.871900 1.012768e-21 -4.132261e-20
47.968100 1.016189e-21 -4.066068e-20
48.064400 1.019621e-21 -3.998743e-20
48.160600 1.023062e-21 -3.930456e-20
48.256900 1.026512e-21 -3.861095e-20
48.353100 1.029969e-21 -3.790837e-20
48.449300 1.033432e-21 -3.719640e-20
48.545600 1.036902e-21 -3.647460e-20
48.641800 1.040376e-21 -3.574478e-20
48.738100 1.043856e-21 -3.500571e-20
48.834300 1.047339e-21 -3.425925e-20
48.930600 1.050828e-21 -3.350413e-20
49.026800 1.054320e-21 -3.274224e-20
49.123000 1.057817e-21 -3.197308e-20
49.219300 1.061319e-21 -3.119615e-20
49.315500 1.064827e-21 -3.041335e-20
49.411800 1.068341e-21 -2.962336e-20
49.508000 1.071863e-21 -2.882809e-20
49.604300 1.075394e-21 -2.802620e-20
49.700500 1.078934e-21 -2.721964e-20
49.796700 1.082487e-21 -2.640785e-20
49.893000 1.086053e-21 -2.559028e-20
49.989200 1.089634e-21 -2.476890e-20
50.085500 1.093234e-21 -2.394229e-20
50.181700 1.096853e-21 -2.311244e-20
50.278000 1.100494e-21 -2.227790e-20
50.374200 1.104161e-21 -2.144067e-20
50.470400 1.107855e-21 -2.060017e-20
50.566700 1.111579e-21 -1.975578e-20
50.662900 1.115337e-21 -1.890953e-20
50.759200 1.119131e-21 -1.805991e-20
50.855400 1.122964e-21 -1.720895e-20
50.951700 1.126839e-21 -1.635515e-20
51.047900 1.130759e-21 -1.550053e-20
51.144100 1.134728e-21 -1.464446e-20
51.240400 1.138748e-21 -1.378629e-20
51.336600 1.142822e-21 -1.292807e-20
51.432900 1.146954e-21 -1.206825e-20
51.529100 1.151146e-21 -1.120885e-20
51.625400 1.155402e-21 -1.034834e-20
51.721600 1.159724e-21 -9.488733e-21
51.817900 1.164116e-21 -8.628482e-21
51.914100 1.168581e-21 -7.769605e-21
52.010300 1.173121e-21 -6.911437e-21
52.106600 1.177739e-21 -6.053313e-21
52.202800 1.182438e-21 -5.197238e-21
52.299100 1.187221e-21 -4.341654e-21
52.395300 1.192091e-21 -3.488555e-21
52.491600 1.197051e-21 -2.636383e-21
52.587800 1.202103e-21 -1.787119e-21
52.684000 1.207250e-21 -9.400858e-22
52.780300 1.212494e-21 -9.461286e-23
52.876500 1.217839e-21 7.473410e-22
52.972800 1.223288e-21 1.587326e-21
53.069000 1.228842e-21 2.423400e-21
53.165300 1.234504e-21 3.257108e-21
53.261500 1.240278e-21 4.086526e-21
53.357700 1.246166e-21 4.912334e-21
53.454000 1.252170e-21 5.735200e-21
53.550200 1.258294e-21 6.553232e-21
53.646500 1.264541e-21 7.367951e-21
53.742700 1.270912e-21 8.177489e-21
53.839000 1.277411e-21 8.983356e-21
53.935200 1.284042e-21 9.783708e-21
54.031400 1.290806e-21 1.057922e-20
54.127700 1.297707e-21 1.137054e-20
54.223900 1.304747e-21 1.215587e-20
54.320200 1.311931e-21 1.293668e-20
54.416400 1.319262e-21 1.371119e-20
54.512700 1.326741e-21 1.448087e-20
54.608900 1.334374e-21 1.524396e-20
54.705200 1.342162e-21 1.600190e-20
54.801400 1.350111e-21 1.675299e-20
54.897600 1.358223e-21 1.749786e-20
54.993900 1.366502e-21 1.823714e-20
55.090100 1.374952e-21 1.896917e-20
55.186400 1.383577e-21 1.969533e-20
55.282600 1.392381e-21 2.041399e-20
55.378900 1.401367e-21 2.112652e-20
55.475100 1.410541e-21 2.183131e-20
55.571300 1.419906e-21 2.252898e-20
55.667600 1.429467e-21 2.322015e-20
55.763800 1.439229e-21 2.390324e-20
55.860100 1.449195e-21 2.457958e-20
55.956300 1.459372e-21 2.524766e-20
56.052600 1.469763e-21 2.590874e-20
56.148800 1.480374e-21 2.656137e-20
56.245000 1.491211e-21 2.720612e-20
56.341300 1.502278e-21 2.784357e-20
56.437500 1.513580e-21 2.847229e-20
56.533800 1.525125e-21 2.909349e-20
56.630000 1.536916e-21 2.970581e-20
56.726300 1.548960e-21 3.031042e-20
56.822500 1.561264e-21 3.090599e-20
56.918700 1.573832e-21 3.149307e-20
57.015000 1.586672e-21 3.207218e-20
57.111200 1.599789e-21 3.264204e-20
57.207500 1.613190e-21 3.320376e-20
57.303700 1.626881e-21 3.375612e-20
57.400000 1.640869e-21 3.430018e-20
57.496200 1.655162e-21 3.483475e-20
57.592400 1.669764e-21 3.536035e-20
57.688700 1.684684e-21 3.587744e-20
57.784900 1.699929e-21 3.638490e-20
57.881200 1.715504e-21 3.688372e-20
57.977400 1.731418e-21 3.737282e-20
58.073700 1.747677e-21 3.785317e-20
58.169900 1.764288e-21 3.832372e-20
58.266200 1.781258e-21 3.878540e-20
58.362400 1.798594e-21 3.923722e-20
58.458600 1.816303e-21 3.967962e-20
58.554900 1.834392e-21 4.011301e-20
58.651100 1.852867e-21 4.053645e-20
58.747400 1.871734e-21 4.095080e-20
58.843600 1.891001e-21 4.135515e-20
58.939900 1.910673e-21 4.175034e-20
59.036100 1.930756e-21 4.213550e-20
59.132300 1.951256e-21 4.251103e-20
59.228600 1.972177e-21 4.287729e-20
59.324800 1.993525e-21 4.323350e-20
59.421100 2.015304e-21 4.358038e-20
59.517300 2.037517e-21 4.391719e-20
59.613600 2.060169e-21 4.424464e-20
59.709800 2.083262e-21 4.456201e-20
59.806000 2.106798e-21 4.486967e-20
59.902300 2.130778e-21 4.516789e-20
59.998500 2.155203e-21 4.545606e-20
60.094800 2.180073e-21 4.573479e-20
60.191000 2.205386e-21 4.600348e-20
60.287300 2.231140e-21 4.626270e-20
60.383500 2.257332e-21 4.651192e-20
60.479700 2.283958e-21 4.675141e-20
60.576000 2.311012e-21 4.698143e-20
60.672200 2.338487e-21 4.720150e-20
60.768500 2.366374e-21 4.741209e-20
60.864700 2.394663e-21 4.761278e-20
60.961000 2.423344e-21 4.780401e-20
61.057200 2.452403e-21 4.798539e-20
61.153500 2.481826e-21 4.815731e-20
61.249700 2.511595e-21 4.831945e-20
61.345900 2.541694e-21 4.847202e-20
61.442200 2.572100e-21 4.861517e-20
61.538400 2.602792e-21 4.874864e-20
61.634700 2.633746e-21 4.887274e-20
61.730900 2.664935e-21 4.898723e-20
